,pdf_url,save_path
112,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/11/8_Math_Set_1.pdf,../jac/jac_5d9fcd74f06ec9f570711b5c5899886b?e=2|*|||.pdf
113,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/Math-Set-2-1.pdf,../jac/jac_5fc243db002f2f14ecc272655ccd8b12?e=3|*|||.pdf
114,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2021/02/set_2_phy_che_mat_bio.pdf,../jac/jac_600b01cd92e4f5c6c835aa660f1a2623?e=4|*|||.pdf
115,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/01/Class-XI_Mathematics-Set-1.pdf,../jac/jac_60d094ba70ad94bdbe3874761c063946?e=5|*|||.pdf
116,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2023/03/8_merged_2023.pdf,../jac/jac_62b8c11be0348e2cf8ffec1af9dd1d3e?e=6|*|||.pdf
117,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2020/12/Class_8_hindi_eng_math_sci_sst.pdf,../jac/jac_730256dc7d15e8bdef2fcfbc33714242?e=7|*|||.pdf
118,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/Class_8_Math_Set-4.pdf,../jac/jac_734e34a6e7de614b645afbcb58849c6f?e=8|*|||.pdf
119,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-12th-Maths-set-7.pdf,../jac/jac_74b767832eb7ef62c34e1891b29a0659?e=9|*|||.pdf
120,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-Matric-2017-Maths-set-9.pdf,../jac/jac_76c050d3f581a2deb25abed4e340c538?e=10|*|||.pdf
121,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-Matric-2017-Maths-set-7.pdf,../jac/jac_7946ad62d44ae5ed78cd26e6dee46bfe?e=11|*|||.pdf
122,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-Matric-2017-Maths-set-4.pdf,../jac/jac_7d4ae3f3a5578e15c7e8949976c1082d?e=12|*|||.pdf
123,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/Maths-Set-3-1.pdf,../jac/jac_8878ae557dbeb552fe64b50af0c8d60c?e=13|*|||.pdf
124,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/01/Mathmatics.pdf.pdf,../jac/jac_8f1e9c3fb41c91c1a4854e3d19bbbb2e?e=14|*|||.pdf
125,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/01/Class-XII_Business_Math_Set-3.pdf,../jac/jac_98f1317d88cf92f8202b2c14a7d21ee8?e=15|*|||.pdf
126,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/11/9_PAPER-2.pdf,../jac/jac_9f19d0df6121c0db3ef9022ebebe5404?e=16|*|||.pdf
127,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-Matric-2017-Maths-set-8.pdf,../jac/jac_a7c603b4faf2f627e81dd92cf6bdafd1?e=17|*|||.pdf
128,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/10_MATH_SET_1.pdf,../jac/jac_aa885cf70cfa54ba6ea4f07dd5582219?e=18|*|||.pdf
129,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2020/02/pcm_Set-1.pdf,../jac/jac_aaa9b7092d0ff7999ad33fd2e74c3954?e=19|*|||.pdf
130,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/02/Class-XII_Math_Mock_Test_2019.pdf,../jac/jac_aade7775e9c4987fa0788167fb05e99b?e=0|*|||.pdf
131,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/Class_8_Math_Set-3.pdf,../jac/jac_abba3dab12133f56145085709c0d4b79?e=1|*|||.pdf
132,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/01/Class-XI_Commercial-Arithmetic-Set-1.pdf,../jac/jac_b04f1fa3cd03d925d96f522aadac462d?e=2|*|||.pdf
133,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2020/12/Class_9_hindi_eng_math_sci_sst.pdf,../jac/jac_b3c61a8cabbea7aa4f1240f9a6b111f6?e=3|*|||.pdf
134,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/02/Class-XI_Mathematics_Set-2.pdf,../jac/jac_b550fab737d3e5bc8bfed1a53e17ef47?e=4|*|||.pdf
135,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/Math_Set-1.pdf,../jac/jac_bbef2dd5ee9f061fc5ae8353c8b5f033?e=5|*|||.pdf
136,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/01/Class-XII_Math_Set-3.pdf,../jac/jac_c0b6138582520b6bfe38b56e3a83b40b?e=6|*|||.pdf
137,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/01/Class-XII_Math_Set-1.pdf,../jac/jac_c0db41269897c99f0764fde0948494a2?e=7|*|||.pdf
138,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-12th-Maths-set-5.pdf,../jac/jac_c49bbd497f85700d8121ae497d3e40d4?e=9|*|||.pdf
139,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2021/02/X__SET_2.pdf,../jac/jac_c86aa3020e179d8f03f7b68e0d433cc0?e=10|*|||.pdf
